Date,Venue,Performers,URL,IsFree
"Sunday, 12 November 2023 06:45 PM",FUSEBOX,LIFE OF BYRON + ,https://www.factorytheatre.com.au/event/life-of-byron/,
"Saturday, 04 November 2023 08:00 PM",FACTORY THEATRE,TEENAGE JOANS + aleksiah + bella amor,https://www.factorytheatre.com.au/event/teenage-joans/,
"Wednesday, 08 November 2023 07:30 PM",FACTORY THEATRE,COLD CAVE + ,https://www.factorytheatre.com.au/event/cold-cave/,
"Thursday, 09 November 2023 07:30 PM",FACTORY THEATRE,HORRORSHOW – KING AMONGST MANY 10 YEAR ANNIVERSARY SHOW + GRIEVES (USA) + MR RHODES,https://www.factorytheatre.com.au/event/horrorshow-king-amongst-many-10-year-anniversary-show/,
"Friday, 10 November 2023 08:00 PM",FACTORY THEATRE,OLD MERVS + Ra Ra Viper + Jet City Sports Club,https://www.factorytheatre.com.au/event/old-mervs/,
"Saturday, 11 November 2023 08:00 PM",FACTORY THEATRE,BIG WETT - PU$$Y AUSTRALIAN TOUR + ,https://www.factorytheatre.com.au/event/big-wett-puy-australian-tour/,
"Sunday, 12 November 2023 05:00 PM",FACTORY THEATRE,ETERNITY + ,https://www.factorytheatre.com.au/event/eternity/,
"Monday, 13 November 2023 07:00 PM",FACTORY THEATRE,CATHERINE COHEN + ,https://www.factorytheatre.com.au/event/catherine-cohen/,
"Wednesday, 15 November 2023 07:00 PM",FACTORY THEATRE,THE ALTERNATIVE SHOW + ,https://www.factorytheatre.com.au/event/the-alternative-show/,
"Wednesday, 15 November 2023 09:30 PM",FACTORY THEATRE,MUSICAL COMEDY IS COOL! + ,https://www.factorytheatre.com.au/event/musical-comedy-is-cool/,
"Thursday, 16 November 2023 07:00 PM",FACTORY THEATRE,RUSSELL KANE + ,https://www.factorytheatre.com.au/event/russell-kane/,
"Monday, 20 November 2023 07:00 PM",FACTORY THEATRE,RUSSELL KANE + ,https://www.factorytheatre.com.au/event/russell-kane/,
"Friday, 17 November 2023 07:00 PM",FUSEBOX,MUSIK THEATER + ,https://www.factorytheatre.com.au/event/musik-theater/,
"Friday, 17 November 2023 07:30 PM",FACTORY THEATRE,GARETH LIDDIARD + ,https://www.factorytheatre.com.au/event/gareth-liddiard/,
"Saturday, 18 November 2023 07:30 PM",FUSEBOX,RED HOT REVUE + ,https://www.factorytheatre.com.au/event/red-hot-revue/,
"Saturday, 18 November 2023 08:00 PM",FACTORY THEATRE,THE EXPLOITED + New Trends + Topnovil,https://www.factorytheatre.com.au/event/the-exploited/,
